"eventDate","year","month","day","decimalLatitude","decimalLongitude","stateProvince","order","scientificName","vernacularName","individualCount"
"2005-02-17",2005,2,17,-37.6826,145.5352,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2005-02-17",2005,2,17,-37.686,145.526,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2005-01-27",2005,1,27,-37.7792,145.6204,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2005-05-18",2005,5,18,-38.7662,143.6427,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2005-05-18",2005,5,18,-38.7669,143.6444,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2000-03-17",2000,3,17,-36.622,145.48,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2004-10-26",2004,10,26,-37.695,145.501,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2004-10-26",2004,10,26,-37.6905,145.5093,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2004-11-30",2004,11,30,-38.0883,145.8313,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2007-07-26",2007,7,26,-37.5786,144.7722,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2008-10-09",2008,10,9,-36.2994,145.8473,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-08-24",2006,8,24,-36.8605,145.6188,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",4
"2006-08-30",2006,8,30,-37.9887,145.3806,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2000-06-17",2000,6,17,-37.9869,145.3801,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2007-04-26",2007,4,26,-37.7023,145.1532,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2007-04-26",2007,4,26,-37.7288,145.1419,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2008-05-19",2008,5,19,-37.7512,145.3633,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-01-24",2006,1,24,-37.6575,145.8289,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2007-04-09",2007,4,9,-37.7799,145.6214,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2006-02-13",2006,2,13,-37.7704,145.6067,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-02-09",2006,2,9,-37.7465,145.7297,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2007-08-30",2007,8,30,-37.7213,145.7696,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2006-02-13",2006,2,13,-37.755,145.658,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2006-02-09",2006,2,9,-37.7064,145.8178,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2008-10-28",2008,10,28,-37.775,145.585,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2006-05-09",2006,5,9,-37.822,144.582,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-05-09",2006,5,9,-37.7508,144.5746,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2008-12-08",2008,12,8,-37.82,144.106,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2008-12-09",2008,12,9,-38.0119,144.1865,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-05-15",2006,5,15,-38.765,143.66,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-05-15",2006,5,15,-38.7661,143.6668,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2006-05-15",2006,5,15,-38.768,143.665,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2001-11-03",2001,11,3,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-01-27",2002,1,27,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-09-24",2002,9,24,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2003-03-08",2003,3,8,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",3
"2004-01-01",2004,1,1,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2004-04-11",2004,4,11,-37.2226,144.0455,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-04-07",2000,4,7,-37.9078,147.4079,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-01-07",2000,1,7,-37.9025,147.5785,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-03-28",2000,3,28,-38.3571,143.9557,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-05-08",2000,5,8,-38.3673,145.4164,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-07-01",2000,7,1,-38.3304,145.7147,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-01-21",2000,1,21,-38.2234,146.8596,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",3
"2000-01-01",2000,1,1,-38.3765,144.2544,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",20
"2000-01-02",2000,1,2,-38.2721,144.2572,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",5
"2000-06-11",2000,6,11,-37.6734,145.0929,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",5
"2002-03-13",2002,3,13,-37.971,144.545,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2000-09-19",2000,9,19,-37.1058,142.0925,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2000-09-22",2000,9,22,-37.2276,141.9736,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2000-03-30",2000,3,30,-36.2357,146.1093,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-07-29",2000,7,29,-38.9689,146.2919,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2000-06-01",2000,6,1,-38.2737,146.5845,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-06-10",2000,6,10,-36.5822,143.7179,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-11-04",2000,11,4,-37.1297,142.7345,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2000-11-04",2000,11,4,-37.1457,142.7495,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-02-09",2000,2,9,-37.8477,145.3094,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-12-12",2000,12,12,-38.5916,143.3583,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-12-12",2000,12,12,-38.5916,143.3583,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2001-02-25",2001,2,25,-37.1387,142.7977,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-02-25",2001,2,25,-37.1596,142.7836,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-01-15",2001,1,15,-37.1387,142.7977,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2000-12-26",2000,12,26,-38.178,141.653,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-12-26",2000,12,26,-38.1807,141.6676,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-12",2000,10,12,-37.8849,144.2682,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-12",2000,10,12,-37.8858,144.2704,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-05",2000,10,5,-37.8252,144.2204,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-05",2000,10,5,-37.826,144.218,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-05",2000,10,5,-37.826,144.216,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-02-22",2000,2,22,-37.7424,145.3833,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-02-22",2000,2,22,-37.7469,145.3855,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-02-22",2000,2,22,-37.7433,145.3867,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-08-14",2000,8,14,-36.8873,142.3878,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-17",2000,10,17,-36.6183,145.3087,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-17",2000,10,17,-36.6183,145.3087,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2000-03-01",2000,3,1,-38.3393,144.9479,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-04-24",2001,4,24,-38.4035,146.3891,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2001-03-20",2001,3,20,-38.6413,145.5586,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-04-01",2000,4,1,-38.2848,145.0809,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",4
"2000-12-01",2000,12,1,-38.2737,146.5845,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2000-08-01",2000,8,1,-36.7517,145.7516,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2000-01-01",2000,1,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-02-01",2000,2,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2000-03-01",2000,3,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-07-01",2000,7,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-08-01",2000,8,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-01",2000,9,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-10-01",2000,10,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-11-01",2000,11,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-07-15",2001,7,15,-38.1995,146.8453,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-07-15",2001,7,15,-38.2617,146.8909,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-09",2001,10,9,-38.6359,145.5599,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-09-24",2001,9,24,-36.1763,146.6426,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-12-28",2000,12,28,-38.3765,144.2544,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2001-11-28",2001,11,28,-38.6324,145.5668,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-11-28",2001,11,28,-38.63,145.56,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",3
"2001-12-10",2001,12,10,-37.2157,142.8908,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-17",2001,12,17,-38.4008,144.2145,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-09-05",2001,9,5,-37.1701,142.5484,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-09-05",2001,9,5,-37.1737,142.5507,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-30",2001,10,30,-37.1457,142.7495,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-11-08",2001,11,8,-37.1509,142.7642,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-27",2001,12,27,-36.9103,145.5077,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-01-02",2001,1,2,-38.2916,146.5916,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-02-24",2001,2,24,-38.1355,144.2372,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",2
"2002-03-01",2002,3,1,-37.1387,142.7977,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-28",2002,2,28,-37.1542,142.7834,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-22",2001,8,22,-37.1397,142.7313,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-15",2001,12,15,-38.2068,145.0429,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-05-01",2002,5,1,-38.3858,145.1412,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",2
"2001-10-24",2001,10,24,-37.4,141.2,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-14",2002,2,14,-38.8754,145.9597,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-03-01",2002,3,1,-37.2209,144.4794,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-05",2000,9,5,-38.3923,146.8415,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-04",2000,9,4,-38.4086,146.8449,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2000-09-08",2000,9,8,-38.4437,146.8471,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-16",2001,8,16,-37.8885,147.1929,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-13",2001,8,13,-37.878,147.518,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-09-03",2001,9,3,-37.8598,147.0757,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-03",2001,10,3,-37.9313,147.3716,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-01-27",2001,1,27,-36.8339,144.9732,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-08-01",2001,8,1,-36.2038,146.9539,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-08-24",2002,8,24,-36.5044,146.1196,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-02-16",2002,2,16,-34.5818,141.5846,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-10-05",2001,10,5,-37.6295,144.9631,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2001-12-26",2001,12,26,-37.505,148.855,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-01-27",2002,1,27,-37.7541,145.8484,"Victoria","Monotremata","Ornithorhynchus anatinus","Duck-billed Platypus",1
"2002-10-13",2002,10,13,-36.7911,144.6594,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2002-10-13",2002,10,13,-36.7448,144.6854,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",10
"2002-10-08",2002,10,8,-38.6749,145.6534,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
"2002-10-06",2002,10,6,-38.671,145.628,"Victoria","Monotremata","Tachyglossus aculeatus","Short-beaked Echidna",1
